#2017-06-23T00:49:17.493007
0	0
10804	0
10804	1
10812	1
10812	0
#2017-06-23T00:49:18.501586
90803	0
90803	1
90812	1
90812	0
#2017-06-23T00:49:19.498158
170803	0
170803	1
170811	1
170811	0
#2017-06-23T00:49:20.497036
250802	0
250802	1
250811	1
250811	0
#2017-06-23T00:49:21.497968
330802	0
330802	1
330810	1
330810	0
#2017-06-23T00:49:22.497075
410801	0
410801	1
410809	1
410809	0
#2017-06-23T00:49:23.497395
490801	0
490801	1
490809	1
490809	0
#2017-06-23T00:49:24.497715
570800	0
570800	1
570808	1
570808	0
#2017-06-23T00:49:25.498048
650800	0
650800	1
650808	1
650808	0
#2017-06-23T00:49:26.497639
730799	0
730799	1
730807	1
730807	0
799999	0
